"beli-atheism","Atheism",-500,"France","con-null","http://en.wikipedia.org/wiki/Atheism","Philosophy",,"beli-agnosticism",
"beli-lamaism","Lamaism",,,"con-buddhawheel-nose","http://en.wikipedia.org/wiki/Lamaism","Religion",,"beli-buddhism",
"beli-mahayana","Mahayana",,,"con-buddhawheel-nose","http://en.wikipedia.org/wiki/Mahayana","Religion",,"beli-buddhism",
"beli-theravada","Theravada",,,"con-buddhawheel-nose","http://en.wikipedia.org/wiki/Theravada","Religion",,"beli-buddhism",
"beli-vajrayana","Vajrayana",,,"con-buddhawheel-nose","http://en.wikipedia.org/wiki/Vajrayana","Religion",,"beli-buddhism",
"beli-adventism","Adventism",1845,"United States","con-cross","http://en.wikipedia.org/wiki/Adventism","Religion",,"beli-christianity","figu-williammiller"
"beli-anglicanism","Anglicanism",,,"con-cross","http://en.wikipedia.org/wiki/Anglicanism","Religion",,"beli-christianity",
"beli-easternorthodox","Eastern Orthodox",,,"con-cross-orth",,"Religion",,"beli-christianity",
"beli-jehovahswitnesses ","Jehovah's Witnesses ",1900,"North America","con-ichthus",,"Religion",,"beli-christianity","figu-charlestazerussell"
"beli-latterdaysaints","Latter-day Saints",1820,"North America","con-cross",,"Religion",,"beli-christianity","figu-josephsmith "
"beli-lutheran","Lutheran",1638,"North America","con-cross",,"Religion",,"beli-christianity",
"beli-methodist","Methodist",1738,"England","con-cross",,"Religion",,"beli-christianity","figu-johnwesley"
"beli-presbyterianism","Presbyterianism",1557,"Scotland","con-cross",,"Religion",,"beli-christianity","figu-johnknox"
"beli-protestanism","Protestanism",1517,"Wittenburg, Germany","con-cross",,"Religion",,"beli-christianity","figu-martinluther"
"beli-religioussocietyoffriends","Religious Society of Friends",1640,"England","con-cross",,"Religion",,"beli-christianity","figu-georgefox"
"beli-romancatholicism","Roman Catholicism",100,"Europe","con-cross",,"Religion",,"beli-christianity","figu-simonpeter"
"beli-unitarianism","Unitarianism",,,"con-ichthus",,"Religion",,"beli-christianity",
"beli-utilitarianism","Utilitarianism",,,"ref-book-generic2",,"Philosophy","Everyone ought to seek the the greatest good.","beli-consequentialism",
"beli-egoismethical","Ethical Egoism",,,"ref-book-generic2",,"Philosophy","Everyone ought to act in their own self-interest.","beli-egoism",
"beli-egoismpsychological","Psychological Egoism",,,"ref-book-generic2",,"Philosophy","Nobody can help but act in their own self interest.","beli-egoism",
"beli-egoismrational","Rational Egoism",,,"ref-book-generic2",,"Philosophy","It is rational to act in your own self interest.","beli-egoism",
"beli-shaivism","Shaivism",-400,,"con-aum",,"Religion",,"beli-hinduism",
"beli-shaktism","Shaktism",,,"con-aum",,"Religion",,"beli-hinduism",
"beli-smartism","Smartism",,,"con-aum",,"Religion",,"beli-hinduism",
"beli-vaishnavism","Vaishnavism",,,"con-aum",,"Religion",,"beli-hinduism",
"beli-shia","Shia",,,"con-crescent-beauty",,"Religion","the followers of Ali","beli-islam",
"beli-sunni","Sunni",,,"con-crescent",,"Religion","the followers of Muhhammad","beli-islam",
"beli-digambara","Dig Ambara",,,"con-jain",,"Religion","Sky Clad","beli-jainism",
"beli-svetambara","Svet Ambara",937,"India","con-jain",,"Religion","White Clad","beli-jainism",
"beli-conservative","Conservative",1800,"Germany","con-david",,"Religion",,"beli-judaism",
"beli-haredi","Haredi",,,"con-david",,"Religion",,"beli-judaism",
"beli-hasidic","Hasidic",,,"con-david",,"Religion",,"beli-judaism",
"beli-modern","Modern",,,"con-david",,"Religion",,"beli-judaism",
