"text-agnosticism","Agnosticism",1889,"England","acc-side-book-genericbinding",,,,,"Agnosticism is not a creed but a method, the essence of which lies in the vigorous application of a single principle... Positively the principle may be expressed as in matters of intellect, do not pretend conclusions are certain that are not demonstrated or demonstrable.","beli-agnosticism",,"figu-thomashenryhuxley"
"text-whyiamanagnostic","Why I Am An Agnostic",1986,"United States","acc-side-book-genericbinding",,,,,"We can be as honest as we are ignorant. If we are, when asked what is beyond the horizon of the known, we must say that we do not know.","beli-agnosticism",,"figu-robertgingersoll"
"text-whatisanagnostic","What Is an agnostic?",1953,"England","acc-side-book-genericbinding",,,,,"An agnostic thinks it impossible to know the truth in matters such as God and the future life with which Christianity and other religions are concerned. Or, if not impossible, at least impossible at the present time.","beli-agnosticism",,"figu-bertrandrussell"
"text-nature","Nature",1863,"United States","acc-side-book-genericbinding",,,,,,"beli-transcendentalism",,"figu-ralphwaldoemmerson"
"text-existentialismishumanism","Existentialism is Humanism",1946,"France","acc-side-book-genericbinding",,,,,"Man first of all exists, encounters himself, surges up in the world - and defines himself afterwards.","beli-existentialism",,"figu-jeanpaulsartre"
"text-concludingunscientificpostscript","Concluding Unscientific Postscript to the Philosophical Fragments",,"Denmark","acc-side-book-genericbinding",,,,,"Subjectivity is truth.","beli-existentialism",,"figu-sorenaabyekierkegaard"
"text-critiqueofpurereason","Critique of Pure Reason",1781,"Germany","acc-side-book-genericbinding",,,,,,"beli-ethics",,"figu-immanuelkant"
"text-critiqueofpracticalreason","Critique of Practical Reason",1788,"Germany","acc-side-book-genericbinding",,,,,,"beli-ethics",,"figu-immanuelkant"
"text-critiqueofjudgement","Critique of Judgement",1790,"Germany","acc-side-book-genericbinding",,,,,,"beli-ethics",,"figu-immanuelkant"
"text-onliberty","On Liberty",1859,"England","acc-side-book-genericbinding",,,,,"[o]ver himself, over his own body and mind, the individual is sovereign","beli-utilitarianism",,"figu-johnstuartmill"
"text-theprivatelifeofthelatebenjaminfranklin ","The Private Life of the late Benjamin Franklin ",1791,"France","acc-side-book-genericbinding",,,,,,"beli-thirteenvirtues",,"figu-benjaminfranklin"
"text-introductiontoprinciplesofmoralsandlegislation","Introduction to Principles of Morals and Legislation",1789,"England","acc-side-book-genericbinding",,,,,,"beli-utilitarianism",,"figu-jeremybentham"
"text-atlasshrugged","Atlas Shrugged",1957,"United States","acc-side-book-genericbinding",,,,,,"beli-objectivism",,"figu-aynrand"
"text-systemofpositivepolitics","System of Positive Politics",1854,"France","acc-side-book-genericbinding",,,,,,"beli-altruism",,"figu-augustecomte"
"text-discourseonthemethod","Discourse on the Method",1637,"France","acc-side-book-genericbinding",,"Discourse on the Method",,,"Je pense donc je suis","beli-rationalism",,"figu-renedescartes"
"text-nicomacheanethics","Nicomachean Ethics",,"Greece","acc-side-book-genericscroll",,,,,,,,"figu-aristotle"
"text-magnamoralia","Magna Moralia",,"Greece","acc-side-book-genericscroll",,"Great Ethics",,,,,,"figu-aristotle"
"text-eudemianethics","Eudemian Ethics",,"Greece","acc-side-book-genericscroll",,,,,,,,"figu-aristotle"
"text-platonicdialogs","Platonic Dialogs",,"Greece","acc-side-book-genericscroll",,,,,,,,"figu-plato"
